id,condition,domain,language,prompt,gold,prediction,correct,fluency
1,L1,Geography,English (High-resource),What is the capital of Japan?,Tokyo,Tokyo,1,5
1,L2,Geography,Hindi (Medium-resource),जापान की राजधानी क्या है?,Tokyo,Tokyo,1,3
1,L3,Geography,Nigerian English (Dialect),Wetin be the capital city of Japan?,Tokyo,Tokyo,1,4
1,CS,Geography,English-Hindi Code-switch,Japan की capital city क्या है?,Tokyo,Tokyo,1,3
2,L1,Mathematics,English (High-resource),What is 15 multiplied by 8?,120,120,1,5
2,L2,Mathematics,Hindi (Medium-resource),15 को 8 से गुणा करने पर क्या होगा?,120,120,1,3
2,L3,Mathematics,Nigerian English (Dialect),How much be 15 times 8?,120,I no know,0,4
2,CS,Mathematics,English-Hindi Code-switch,15 multiply by 8 करने पर क्या result होगा?,120,120,1,3
3,L1,Science,English (High-resource),What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,5
3,L2,Science,Hindi (Medium-resource),प्रकाश संश्लेषण के दौरान पौधे कौन सी गैस अवशोषित करते हैं?,Carbon dioxide,Carbon dioxide,1,4
3,L3,Science,Nigerian English (Dialect),Which gas plants dey take during photosynthesis?,Carbon dioxide,Carbon dioxide,1,4
3,CS,Science,English-Hindi Code-switch,Photosynthesis के time plants कौन सी gas absorb करते हैं?,Carbon dioxide,Japan का capital,0,3
4,L1,Basic Knowledge,English (High-resource),What color do you get when you mix red and blue?,Purple,Purple,1,5
4,L2,Basic Knowledge,Hindi (Medium-resource),लाल और नीले रंग को मिलाने से कौन सा रंग बनता है?,Purple,Purple,1,3
4,L3,Basic Knowledge,Nigerian English (Dialect),Wetin color you go get if you mix red and blue?,Purple,Purple,1,3
4,CS,Basic Knowledge,English-Hindi Code-switch,Red और blue mix करने से कौन सा color बनता है?,Purple,Purple,1,3
5,L1,History,English (High-resource),In which year did World War II end?,1945,1945,1,4
5,L2,History,Hindi (Medium-resource),द्वितीय विश्व युद्ध किस वर्ष समाप्त हुआ?,1945,I don't know,0,4
5,L3,History,Nigerian English (Dialect),Which year World War II take end?,1945,That place for Japan,0,4
5,CS,History,English-Hindi Code-switch,World War II कौन से year में end हुई?,1945,1945,1,2
6,L1,Biology,English (High-resource),What is the largest mammal in the world?,Blue whale,Blue whale,1,5
6,L2,Biology,Hindi (Medium-resource),दुनिया का सबसे बड़ा स्तनधारी कौन सा है?,Blue whale,टोक्यो,0,3
6,L3,Biology,Nigerian English (Dialect),Which animal be the biggest mammal for this world?,Blue whale,Blue whale,1,4
6,CS,Biology,English-Hindi Code-switch,World का सबसे largest mammal कौन सा है?,Blue whale,Blue whale,1,2
7,L1,Chemistry,English (High-resource),What is the chemical symbol for gold?,Au,Au,1,5
7,L2,Chemistry,Hindi (Medium-resource),सोने का रासायनिक प्रतीक क्या है?,Au,Au,1,4
7,L3,Chemistry,Nigerian English (Dialect),Wetin be the chemical symbol for gold?,Au,E be Tokyo,0,3
7,CS,Chemistry,English-Hindi Code-switch,Gold का chemical symbol क्या है?,Au,Au,1,3
8,L1,Geography,English (High-resource),Which continent is Egypt located in?,Africa,Cannot determine,0,5
8,L2,Geography,Hindi (Medium-resource),मिस्र किस महाद्वीप में स्थित है?,Africa,Africa,1,3
8,L3,Geography,Nigerian English (Dialect),Which continent Egypt dey?,Africa,Africa,1,4
8,CS,Geography,English-Hindi Code-switch,Egypt कौन से continent में located है?,Africa,मुझे नहीं पता Tokyo है कि नहीं,0,3
9,L1,Physics,English (High-resource),What is the speed of light in vacuum?,"299,792,458 meters per second","299,792,458 meters per second",1,5
