id,noise_type,noise_level,prompt_in,gold,pred,correct
0,clean,none,What is the capital of France?,Paris,Paris,1
1,clean,none,What is 7 + 8?,15,15,1
2,clean,none,What color do you get mixing red and blue?,Purple,Purple,1
3,clean,none,What is the largest planet in our solar system?,Jupiter,Jupiter,1
4,clean,none,What year did World War II end?,1945,1945,1
5,clean,none,What is the chemical symbol for gold?,Au,Au,1
6,clean,none,What is the smallest prime number?,2,2,1
7,clean,none,What ocean is west of California?,Pacific Ocean,Pacific Ocean,1
8,clean,none,What is the square root of 64?,8,8,1
9,clean,none,What gas do plants absorb from the atmosphere?,Carbon dioxide,Carbon dioxide,1
10,clean,none,What is the hardest natural substance?,Diamond,Diamond,1
11,clean,none,What is the currency of Japan?,Yen,Yen,1
12,clean,none,What planet is known as the Red Planet?,Mars,Mars,1
13,clean,none,What is 12 × 5?,60,60,1
14,clean,none,What is the longest river in the world?,Nile River,Nile River,1
15,clean,none,What element has the atomic number 1?,Hydrogen,Hydrogen,1
16,clean,none,What is the capital of Australia?,Canberra,Canberra,1
17,clean,none,What is 100 ÷ 4?,25,25,1
18,clean,none,What organ pumps blood through the body?,Heart,Heart,1
19,clean,none,What is the fastest land animal?,Cheetah,Cheetah,1
20,clean,none,What is H2O commonly known as?,Water,Water,1
21,clean,none,What is 9²?,81,81,1
22,clean,none,What country is famous for the pyramids?,Egypt,Egypt,1
23,clean,none,What is the boiling point of water in Celsius?,100,100,1
24,clean,none,What gas makes up most of Earth's atmosphere?,Nitrogen,Nitrogen,1
25,clean,none,What is the capital of Canada?,Ottawa,Ottawa,1
26,clean,none,What is 15 - 7?,8,8,1
27,clean,none,What force keeps us on the ground?,Gravity,Gravity,1
28,clean,none,What is the largest mammal?,Blue whale,Blue whale,1
29,clean,none,What metal is liquid at room temperature?,Mercury,Mercury,1
30,clean,none,What is the capital of Italy?,Rome,Rome,1
31,clean,none,What is 6 × 9?,54,54,1
32,clean,none,What do bees make?,Honey,Honey,1
33,clean,none,What is the study of earthquakes called?,Seismology,Seismology,1
34,clean,none,What vitamin is produced by skin in sunlight?,Vitamin D,Vitamin D,1
35,clean,none,What is the capital of Germany?,Berlin,Berlin,1
36,clean,none,What is 144 ÷ 12?,12,12,1
37,clean,none,What gas do we breathe in to live?,Oxygen,Oxygen,1
38,clean,none,What is the smallest country in the world?,Vatican City,Vatican City,1
39,clean,none,What temperature does water freeze at in Fahrenheit?,32,32,1
40,clean,none,What is the capital of Spain?,Madrid,Madrid,1
41,clean,none,What is 8 + 7?,15,15,1
42,clean,none,What animal is known as the king of the jungle?,Lion,Lion,1
43,clean,none,What is the main ingredient in glass?,Silicon dioxide,Silicon dioxide,1
44,clean,none,What planet is closest to the sun?,Mercury,Mercury,1
45,clean,none,What is the capital of the United Kingdom?,London,London,1
46,clean,none,What is 20% of 50?,10,10,1
47,clean,none,What do caterpillars turn into?,Butterflies,Butterflies,1
48,clean,none,What is the speed of light approximately?,"300,000 km/s","300,000 km/s",1
49,clean,none,What is the largest organ in the human body?,Skin,Skin,1
0,typos,mild,What is the capital of France?,Paris,Paris,1
1,typos,mild,What is 7 + 8?,15,15,1
2,typos,mild,What cplor do you get moxing red and blue?,Purple,Unknown,0
3,typos,mild,What is tbe largest plabet in our solar system?,Jupiter,Unknown,0
4,typos,mild,What year did World sar II end?,1945,Unknown,0
5,typos,mild,What is the chemical symbol for gold?,Au,Au,1
6,typos,mild,What is ths smallest prime number?,2,Unknown,0
7,typos,mild,What ocean is west of California?,Pacific Ocean,Pacific Ocean,1
8,typos,mild,shat is thd square root of 64?,8,Unknown,0
9,typos,mild,What gas do plants absorb from the atmosphere?,Carbon dioxide,Carbon dioxide,1
10,typos,mild,What is the hardest natural substance?,Diamond,Diamond,1
11,typos,mild,What is the currency of Japan?,Yen,Yen,1
12,typos,mild,What planet is known as the Red Planet?,Mars,Mars,1
13,typos,mild,What is 12 × 5?,60,60,1
14,typos,mild,What is the longest river in the world?,Nile River,Nile River,1
15,typos,mild,What element has the atomic number 1?,Hydrogen,Hydrogen,1
16,typos,mild,What is the capital of Australia?,Canberra,Canberra,1
17,typos,mild,What is 100 ÷ 4?,25,25,1
18,typos,mild,What organ pumps blood through the body?,Heart,Heart,1
19,typos,mild,What is the fastest land animal?,Cheetah,Cheetah,1
20,typos,mild,What is H2O commonly known as?,Water,Water,1
21,typos,mild,What is 9²?,81,81,1
22,typos,mild,ahat fountry is famous for the pyramids?,Egypt,Unknown,0
23,typos,mild,What is the boiling point of watdr in Celsius?,100,Unknown,0
24,typos,mild,What gas makes up most of Earth's atmosphere?,Nitrogen,Nitrogen,1
25,typos,mild,What is the capital of Canada?,Ottawa,Ottawa,1
26,typos,mild,What is 15 - 7?,8,8,1
27,typos,mild,What force keeps us on the ground?,Gravity,Gravity,1
28,typos,mild,What is the largest mammal?,Blue whale,Blue whale,1
29,typos,mild,What metal is liquid at room temperature?,Mercury,Mercury,1
30,typos,mild,What is the capital of Italy?,Rome,Rome,1
31,typos,mild,Whaf is 6 × 9?,54,Unknown,0
32,typos,mild,Wjat do bees make?,Honey,Unknown,0
33,typos,mild,What is the study of earthquakes called?,Seismology,Seismology,1
34,typos,mild,What vitamin is produced by skin in sunlighr?,Vitamin D,Unknown,0
35,typos,mild,Wbat is the capital of Germany?,Berlin,Unknown,0
36,typos,mild,What is 144 ÷ 12?,12,12,1
37,typos,mild,What gaw do we breathe in to live?,Oxygen,Unknown,0
38,typos,mild,What is the smallest country in the world?,Vatican City,Vatican City,1
39,typos,mild,What temperaturr does wafer freeze at in Fahrenheit?,32,Unknown,0
40,typos,mild,What is ths capital of Spain?,Madrid,Unknown,0
41,typos,mild,What is 8 + 7?,15,15,1
42,typos,mild,What animal is known as the king of the jungle?,Lion,Lion,1
43,typos,mild,What is the main ingredient in glass?,Silicon dioxide,Silicon dioxide,1
44,typos,mild,What planet is closest to the sun?,Mercury,Mercury,1
45,typos,mild,What is the capital of the United Kingdom?,London,London,1
46,typos,mild,What is 20% of 50?,10,10,1
47,typos,mild,What do caterpillars turn into?,Butterflies,Butterflies,1
48,typos,mild,What is the speed of light approximately?,"300,000 km/s","300,000 km/s",1
49,typos,mild,What is the largest organ in the human body?,Skin,Skin,1
0,typos,severe,What is the capital of France?,Paris,Paris,1
1,typos,severe,What is 7 + 8?,15,15,1
2,typos,severe,What color do you get mixing red and blur?,Purple,Unknown,0
3,typos,severe,What is the largest planet in our solar system?,Jupiter,Jupiter,1
4,typos,severe,What year did Worpd sar II end?,1945,Unknown,0
5,typos,severe,What is the chemical sgmbol gor gold?,Au,Unknown,0
6,typos,severe,What is the smallest prime number?,2,2,1
7,typos,severe,What icean is wesr of California?,Pacific Ocean,Unknown,0
8,typos,severe,Wjat is the square root of 64?,8,Unknown,0
9,typos,severe,What gas do plants absorb from the atmosphere?,Carbon dioxide,Carbon dioxide,1
10,typos,severe,Whwt is tge hardest nagural substance?,Diamond,Unknown,0
11,typos,severe,Wyat is rhe currency of Japan?,Yen,Unknown,0
12,typos,severe,Whay planet is known as the Red Plqnet?,Mars,Unknown,0
13,typos,severe,What is 12 × 5?,60,60,1
14,typos,severe,What is ghe longest riber in the world?,Nile River,Unknown,0
15,typos,severe,What element has the atomic numger 1?,Hydrogen,Unknown,0
16,typos,severe,Whqt is the capital of Australia?,Canberra,Unknown,0
17,typos,severe,What is 100 ÷ 4?,25,25,1
18,typos,severe,Whst organ pumps blood through the gody?,Heart,Unknown,0
19,typos,severe,Whar is thd fastest kand animal?,Cheetah,Unknown,0
20,typos,severe,shat is H2O commonly known as?,Water,Unknown,0
21,typos,severe,What is 9²?,81,81,1
22,typos,severe,What country is famous for the pyramids?,Egypt,Egypt,1
23,typos,severe,What is the boiling point of water in Celsius?,100,100,1
24,typos,severe,What gas makes up most of Earth's atmosphere?,Nitrogen,Nitrogen,1
25,typos,severe,What is the capital of Cansda?,Ottawa,Unknown,0
